,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
386694,Q4353550,Janusz Żurakowski,Officer of the Polish Army,Male,Poland,Military personnel,1914,2004.0,natural causes,90.0
47369,Q297696,Hildegart Rodríguez Carballeira,Spanish politician (1914-1933),Female,Spain,Researcher,1914,1933.0,homicide,19.0
118590,Q957395,George Nissen,American inventor of the modern trampoline,Male,United States of America,Artist,1914,2010.0,natural causes,96.0
552736,Q6255350,John Roderick,American journalist,Male,United States of America,Journalist,1914,2008.0,natural causes,94.0
600862,Q7321011,Rhodes Fairbridge,Australian geologist,Male,Australia,Researcher,1914,2006.0,natural causes,92.0
240663,Q2166737,Rose Heilbron,British judge,Female,United Kingdom; United Kingdom of Great Britain and Ireland,Judge,1914,2005.0,natural causes,91.0
138772,Q1232492,Sydney Wooderson,British middle distance runner,Male,United Kingdom,Long-distance runner; middle-distance runner,1914,2006.0,natural causes,92.0
629266,Q7812280,Todd Bolender,American ballet dancer and choreographer,Male,United States of America,Ballet dancer,1914,2006.0,natural causes,92.0
624381,Q7786997,Thomas Alexander Parrott,CIA officer,Male,United States of America,Military personnel,1914,2007.0,natural causes,93.0
613250,Q7411260,Samuel Devons,British physicist,Male,United Kingdom,Researcher,1914,2006.0,natural causes,92.0
607268,Q7349433,Robert Russin,American artist,Male,United States of America,Artist,1914,2007.0,natural causes,93.0
599105,Q7297629,Ray Holmes,RAF officer,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Military personnel,1914,2005.0,natural causes,91.0
598598,Q7290439,Ramón Barquín,Cuban dissident,Male,Cuba,Artist,1914,2008.0,natural causes,94.0
44608,Q271963,James Van Allen,American astrophysicist,Male,United States of America,Researcher,1914,2006.0,natural causes,92.0
120529,Q972548,Thomas J. Bata,Czech-born Canadian businessman,Male,Canada; Czechoslovakia,Businessperson,1914,2008.0,natural causes,94.0
579272,Q6797409,Maynard Jack Ramsay,American entomologist,Male,United States of America,Researcher,1914,2005.0,natural causes,91.0
1206559,Q66309619,Lusia Zarembianka,daughter of architect Henryk Zaremby; she was killed in 1931,,Second Polish Republic,Architect,1914,1931.0,homicide,17.0
45337,Q275799,June Travis,American actress (1914-2008),Female,United States of America,Artist,1914,2008.0,natural causes,94.0
45887,Q281404,Kevin McCarthy,American actor,Male,United States of America,Artist,1914,2010.0,natural causes,96.0
387037,Q4357235,Milton Meltzer,American historian and children's writer,Male,United States of America,Researcher,1915,2009.0,natural causes,94.0
573448,Q6729903,Magdalena Sánchez,Venezuelan singer,Female,Venezuela,Artist,1915,2005.0,natural causes,90.0
430374,Q5045364,Carolyn Goodman,American clinical psychologist and civil rights advocate,Female,United States of America,Psychologist,1915,2007.0,natural causes,92.0
429570,Q5040650,Carl Pohlad,American financier (1915–2009),Male,United States of America,Financier,1915,2009.0,natural causes,94.0
943585,Q20898224,Antonio Molle Lazo,combatiente requeté español (1915-1936),Male,Spain,Combatant,1915,1936.0,homicide,21.0
619566,Q7597760,Stan Leonard,professional golfer,Male,Canada,Athlete,1915,2005.0,natural causes,90.0
622394,Q7668020,T.J. O'Malley,American aeronautical engineer,Male,United States of America,Engineer,1915,2009.0,natural causes,94.0
757296,Q14599652,"Eugene Calvin Cheatham, Jr.",Episcopal missionary,Male,United States of America,Military personnel,1915,2005.0,natural causes,90.0
623580,Q7704877,Terry O'Sullivan,American actor (1915-2006),Male,United States of America,Artist,1915,2006.0,natural causes,91.0
406347,Q4750361,Ana González Olea,Chilean actor,Female,Chile,Artist,1915,2008.0,natural causes,93.0
273552,Q2824201,Adele Palmer,Costume Designer,Female,United States of America,Costume designer,1915,2008.0,natural causes,93.0
574642,Q6759580,Margaret Karcher,American businessman,Female,United States of America,Entrepreneur,1915,2006.0,natural causes,91.0
633112,Q7930155,Vilem Sokol,American conductor and music educator,Male,United States of America,Conductor; music pedagogue,1915,2011.0,natural causes,96.0
397879,Q4669120,Abraham Osheroff,American activist,Male,United States of America,Peace activist,1915,2008.0,natural causes,93.0
636262,Q7965048,Walter Hadlee,New Zealand cricketer (1915-2006),Male,New Zealand,Athlete,1915,2006.0,natural causes,91.0
439733,Q5143009,Coleman Jacoby,comedy writer,Male,United States of America,Artist,1915,2010.0,natural causes,95.0
942050,Q20823782,Apurba Sen,Indian freedom fighter,,British Raj,Revolutionary,1915,1932.0,homicide,17.0
939817,Q20748116,María Cristina Vilanova Castro de Árbenz,First Lady of Guatemala,Female,Guatemala; El Salvador,Artist,1915,2009.0,natural causes,94.0
332455,Q3426601,René Margotton,French painter (1915-2009),Male,France,Artist,1915,2009.0,natural causes,94.0
282664,Q2913291,Armando Villanueva,Peruvian politician,Male,Peru,Politician,1915,2013.0,natural causes,98.0
511757,Q5930129,Hugh Bradner,American physicist,Male,United States of America,Researcher,1915,2008.0,natural causes,93.0
217894,Q1815361,Junior Durkin,actor (1915–1935),Male,United States of America,Artist,1915,1935.0,accident,20.0
576418,Q6775255,Martin Dannenberg,"American insurance executive, discovered Nuremberg Laws document",Male,United States of America,Businessperson,1915,2010.0,accident,95.0
268040,Q2655862,Dorothy Dell,American actress,Female,United States of America,Artist,1915,1934.0,accident,19.0
481361,Q5546576,George X. Schwartz,American politician,Male,United States of America,Politician,1915,2010.0,natural causes,95.0
480453,Q5544998,George Switzer,"American mineralogist, curator of minerals, US National Museum (Smithsonian Institution)",Male,United States of America,Researcher,1915,2008.0,natural causes,93.0
584943,Q6984175,Neal Potter,American politician,Male,United States of America,Politician,1915,2008.0,natural causes,93.0
467821,Q5484519,Franco Belgiorno-Nettis,Australian businessman,Male,Australia,Businessperson,1915,2006.0,natural causes,91.0
560169,Q6307825,Juliann Graham,American actress (1915-1935),Female,United States of America,Artist,1915,1935.0,suicide,20.0
725607,Q12258802,Gurutz Saratsola,Basque writer,,Spain,Artist,1915,1936.0,suicide,21.0
279800,Q2870827,"Audrey Callaghan, Baroness Callaghan of Cardiff","British councillor, wife of James Callaghan",Female,United Kingdom; United Kingdom of Great Britain and Ireland,Dietitian,1915,2005.0,natural causes,90.0
759889,Q14954651,Luther Christman,American nursing professor and administrator,Male,United States of America,Nurse,1915,2011.0,natural causes,96.0
605386,Q7344583,Robert Furman,American military engineer and intelligence officer,Male,United States of America,Engineer,1915,2008.0,natural causes,93.0
224878,Q1928195,Michael Kidd,American film choreographer (1915-2007),Male,United States of America,Artist,1915,2007.0,natural causes,92.0
258522,Q2550245,Aurora Miranda,Brazilian entertainer,Female,Brazil,Artist,1915,2005.0,natural causes,90.0
254093,Q2467809,Sylvia Lennick,Canadian actress,Female,Canada,Artist,1915,2009.0,natural causes,94.0
546034,Q6229983,John Dowie,Australian artist (1915-2008),Male,Australia,Artist,1915,2008.0,natural causes,93.0
765425,Q15229376,"Lena Jeger, Baroness Jeger",British Labour politician and life peer (1915-2007),Female,United Kingdom; United Kingdom of Great Britain and Ireland,Politician,1915,2007.0,natural causes,92.0
17,Q368,Augusto Pinochet,"General, politician of Chile (1915-2006)",Male,Chile,Politician,1915,2006.0,natural causes,91.0
96386,Q711358,"Julio Iglesias, Sr.",Spanish gynecologist,Male,Spain,Gynaecologist,1915,2005.0,natural causes,90.0
81603,Q558522,M. F. Husain,BFA preparaq,Male,India; Qatar; British Raj,Artist,1915,2011.0,natural causes,96.0
50180,Q320203,László Csizsik-Csatáry,Hungarian alleged Nazi criminal,Male,Hungary,Police officer,1915,2013.0,natural causes,98.0
53122,Q332347,John Profumo,British politician (1915-2006),Male,United Kingdom; United Kingdom of Great Britain and Ireland,Politician,1915,2006.0,natural causes,91.0
114420,Q919140,David Diamond,American classical composer (1915-2005),Male,United States of America,Artist,1915,2005.0,natural causes,90.0
30555,Q123134,Frère Roger,Swiss monk (1915-2005),Male,Switzerland,Religious figure,1915,2005.0,homicide,90.0
75135,Q514041,Dulcie Gray,"Actress, singer, writer",Female,United Kingdom; Malaysia,Artist,1915,2011.0,natural causes,96.0
52702,Q330160,Abraham Klausner,American chaplain,Male,United States of America,Rabbi,1915,2007.0,natural causes,92.0
72338,Q488309,Al Casey,American jazz guitarist,Male,United States of America,Artist,1915,2005.0,natural causes,90.0
64401,Q436022,Jean Parker,American actress,Female,United States of America,Artist,1915,2005.0,natural causes,90.0
157924,Q1374412,Joe Mantell,American film and television actor (1915-2010),Male,United States of America,Artist,1915,2010.0,natural causes,95.0
3809,Q55397,Kon Ichikawa,Japanese film director,Male,Japan,Artist,1915,2008.0,natural causes,93.0
128425,Q1077247,Chris Griffin,American jazz trumpeter of the swing era,Male,United States of America,Artist,1915,2005.0,natural causes,90.0
36510,Q184351,Yitzhak Shamir,Seventh Prime Minister of Israel,Male,Israel,Politician,1915,2012.0,natural causes,97.0
52174,Q328056,Bill Miller,American jazz pianist,Male,United States of America,Artist,1915,2006.0,natural causes,91.0
47160,Q294555,Paul Tibbets,United States Air Force pilot (1915-2007),Male,United States of America,Military personnel,1915,2007.0,natural causes,92.0
51044,Q323781,Sidney Luft,American film producer and businessman,Male,United States of America,Impresario; film producer,1915,2005.0,natural causes,90.0
65585,Q442956,Joyce Redman,Anglo-Irish actress,Female,Ireland,Artist,1915,2012.0,natural causes,97.0
54467,Q337799,S. Rajaratnam,politician (1915-2006),Male,Singapore,Artist,1915,2006.0,natural causes,91.0
55670,Q349217,Norman Wisdom,"English actor, comedian and singer-songwriter",Male,United Kingdom,Artist,1915,2010.0,natural causes,95.0
62577,Q399998,Wee Kim Wee,4th President of SIngapore (1915-2005),Male,Singapore,Athlete,1915,2005.0,natural causes,90.0
3630,Q53026,Mario Monicelli,Italian film director and screenwriter,Male,Italy; Kingdom of Italy,Artist,1915,2010.0,suicide,95.0
13023,Q80596,Arthur Miller,American playwright,Male,United States of America,Artist,1915,2005.0,natural causes,90.0
86002,Q596562,Manuel del Rosario,Catholic bishop,Male,Philippines,Religious figure,1915,2009.0,natural causes,94.0
43465,Q262399,Les Paul,"American jazz guitarist, country guitarist, songwriter and inventor",Male,United States of America,Artist,1915,2009.0,natural causes,94.0
94085,Q700616,Patrick Leigh Fermor,"British author, scholar and soldier",Male,United Kingdom,Artist,1915,2011.0,natural causes,96.0
176646,Q1509265,Georgiy Zhzhonov,Russian actor/writer,Male,Russia; Soviet Union; Russian Empire; Russian Soviet Federative Socialist Republic,Artist,1915,2005.0,natural causes,90.0
7496,Q67368,Georg Lassen,German World War II U-boat commander,Male,Germany,Military personnel,1915,2012.0,natural causes,97.0
183822,Q1574779,Harold Pupkewitz,entrepreneur,Male,Namibia,Businessperson,1915,2012.0,natural causes,97.0
58904,Q365359,Mario Echandi Jiménez,President of Costa Rica (1915-2011),Male,Costa Rica,Politician,1915,2011.0,natural causes,96.0
97301,Q714747,Henry Bumstead,art director,Male,United States of America,Scenographer,1915,2006.0,natural causes,91.0
56655,Q355125,Harry Morgan,American actor and director,Male,United States of America,Artist,1915,2011.0,natural causes,96.0
7268,Q66769,Mady Rahl,actress,Female,Germany,Artist,1915,2009.0,natural causes,94.0
23506,Q104067,Eli Wallach,"American film, television and stage actor (1915-2014)",Male,United States of America,Artist,1915,2014.0,natural causes,99.0
140655,Q1247029,Patrick De Mare,British psychotherapist,Male,United Kingdom,Military personnel,1916,2008.0,natural causes,92.0
1272,Q17579,Tsutomu Yamaguchi,Japanese national,Male,Japan,Researcher,1916,2010.0,natural causes,94.0
124439,Q1025489,Caetano Lima dos Santos,Catholic bishop,Male,Brazil,Religious figure,1916,2014.0,natural causes,98.0
463524,Q5409783,Eunice W. Johnson,American businesswoman and publisher,Female,United States of America,Businessperson,1916,2010.0,natural causes,94.0
336654,Q3483133,Sid Davis,American film director (1916-2006),Male,United States of America,Artist,1916,2006.0,natural causes,90.0
494067,Q5671379,Harry Olivieri,American restaurateur,Male,United States of America,Chef,1916,2006.0,natural causes,90.0
1953,Q31073,Walter Cronkite,American broadcast journalist,Male,United States of America,Journalist,1916,2009.0,natural causes,93.0
59605,Q369175,David Brown,"American film and theatre producer, and writer",Male,United States of America,Artist,1916,2010.0,natural causes,94.0
61123,Q379707,Bismillah Khan,The most popular shehnai player,Male,India; British Raj,Artist,1916,2006.0,natural causes,90.0
132271,Q1117034,"House Peters, Jr.",actor (1916-2008),Male,United States of America,Artist,1916,2008.0,natural causes,92.0
476137,Q5537600,George C. Young,American judge,Male,United States of America,Judge,1916,2015.0,natural causes,99.0
479834,Q5543888,George Rieveschl,American chemical engineer,Male,United States of America,Researcher,1916,2007.0,natural causes,91.0
63050,Q426235,Pierre Sancan,French musician,Male,France,Artist,1916,2008.0,natural causes,92.0
495654,Q5699529,Antonio Rivera Ramírez,Spanish lawyer,Male,Spain,Lawyer,1916,1936.0,homicide,20.0
1288,Q18227,Forrest J Ackerman,American collector of science fiction books and movie memorabilia (1916-2008),Male,United States of America,Artist,1916,2008.0,natural causes,92.0
244674,Q2276754,Kermit Love,Puppet and Muppet designer,Male,United States of America,Costume designer; puppeteer; designer,1916,2008.0,natural causes,92.0
273997,Q2829353,Al Hostak,American boxer,Male,United States of America,Athlete,1916,2006.0,natural causes,90.0
68545,Q458240,Jessica Anderson,Australian novelist,Female,Australia,Artist,1916,2010.0,natural causes,94.0
97842,Q717250,Silviu Brucan,Romanian politician (1916-2006),Male,Romania,Researcher,1916,2006.0,natural causes,90.0
322758,Q3309251,Michel Chartrand,Canadian politician,Male,Canada,Politician,1916,2010.0,natural causes,94.0
801788,Q16018474,John Houghtaling,Creator of the Magic Fingers Vibrating Bed,Male,United States of America,Inventor,1916,2009.0,accident; natural causes,93.0
801754,Q16018432,Frank Ford,American radio talk show host and businessman,Male,United States of America,Radio personality,1916,2009.0,natural causes,93.0
13853,Q85259,Manon Gropius,Artistic muse,Female,Austria,Artist,1916,1935.0,natural causes,19.0
100704,Q735455,Frederick Mosteller,American statistician,Male,United States of America,Teacher,1916,2006.0,natural causes,90.0
21744,Q100122,Kurt Kreuger,actor (1916-2006),Male,United States of America; Germany,Artist,1916,2006.0,natural causes,90.0
774655,Q15516714,Julius B. Richmond,United States Surgeon General,Male,United States of America,Psychiatrist,1916,2008.0,natural causes,92.0
362801,Q3857546,Mila Schön,fashion designer,Female,Italy; Kingdom of Italy,Fashion designer,1916,2008.0,natural causes,92.0
300716,Q3129597,Helen Boatwright,American soprano singer,Female,United States of America,Artist,1916,2010.0,accident,94.0
84199,Q581425,Phil Cavarretta,baseball player,Male,United States of America,Athlete,1916,2010.0,natural causes,94.0
386941,Q4356254,Buddy Lewis,American baseball player,Male,United States of America,Athlete,1916,2011.0,natural causes,95.0
398216,Q4678919,Adam Curle,British academic,Male,United Kingdom,Academic,1916,2006.0,natural causes,90.0
292602,Q3069236,Fernand Leduc,Canadian artist (1916-2014),Male,Canada,Artist,1916,2014.0,natural causes,98.0
111572,Q881892,Russell W. Peterson,American politician (1916-2011),Male,United States of America,Researcher,1916,2011.0,natural causes,95.0
290677,Q3048363,Eduardo Noriega,Mexican actor,Male,Mexico,Artist,1916,2007.0,natural causes,91.0
112458,Q888174,Bob Oksner,artist,Male,United States of America,Artist,1916,2007.0,natural causes,91.0
400991,Q4710647,Albert Kligman,American dermatologist,Male,United States of America,Dermatologist,1916,2010.0,natural causes,94.0
428994,Q5026381,Cameron Snyder,American sportswriter,Male,United States of America,Journalist,1916,2010.0,natural causes,94.0
3858,Q55718,Krystyna Feldman,Polish actress (1916-2007),Female,Poland,Artist,1916,2007.0,natural causes,91.0
116911,Q942286,Amparo Arozamena,Mexican actress,Female,Mexico,Artist,1916,2009.0,natural causes,93.0
32147,Q129221,Marty Marion,American baseball player and coach,Male,United States of America,Athlete,1916,2011.0,natural causes,95.0
3744,Q54526,Gene Mako,American tennis player,Male,United States of America,Athlete,1916,2013.0,natural causes,97.0
430926,Q5056167,Cecil Kaiser,American baseball player,Male,United States of America,Athlete,1916,2011.0,accident,95.0
71172,Q472478,Jaime Luiz Coelho,Catholic archbishop,Male,Brazil,Religious figure,1916,2013.0,natural causes,97.0
3632,Q53034,Dino Risi,Italian film director,Male,Italy; Kingdom of Italy,Artist,1916,2008.0,natural causes,92.0
440437,Q5170354,Corey Engen,American alpine skier,Male,Norway; United States of America,Athlete,1916,2006.0,natural causes,90.0
3624,Q53015,Luigi Comencini,Italian film director,Male,Italy; Kingdom of Italy,Artist,1916,2007.0,natural causes,91.0
527959,Q6114714,Jack R. Fenton,American politician,Male,United States of America,Politician,1916,2007.0,natural causes,91.0
42581,Q253328,Evelyn Keyes,American film actress,Female,United States of America,Artist,1916,2008.0,natural causes,92.0
544456,Q6223999,John Burnside,American inventor,Male,United States of America,Inventor,1916,2008.0,natural causes,92.0
571912,Q6688960,Louise Smith,American racing driver,Female,United States of America,Engineer,1916,2006.0,natural causes,90.0
595934,Q7188553,Phyllis Fraser,"American socialite, writer, publisher, and actress",Female,United States of America,Artist,1916,2006.0,accident,90.0
47504,Q299302,Michael Gough,English actor,Male,United Kingdom,Artist,1916,2011.0,natural causes,95.0
596838,Q7239299,Preacher Roe,"American baseball player;  folksy left-hander from the Ozarks who became a star pitcher for the Brooklyn Dodgers, featuring superb control and a spitball he belatedly confessed to throwing; Feb. 26, 1916 - Sunday Nov. 9, 2008",Male,United States of America,Athlete,1916,2008.0,natural causes,92.0
572944,Q6709345,Lynne Cooper Harvey,radio producer,Female,United States of America,Radio producer,1916,2008.0,natural causes,92.0
199747,Q1681348,Ken Kavanaugh,"CHOF player, NFL '40s All-Decade Team (1916-2007)",Male,United States of America,Athlete,1916,2007.0,natural causes,91.0
619942,Q7599719,Stanley Kauffmann,"American author, editor, and critic of film and theater",Male,United States of America,Artist,1916,2013.0,natural causes,97.0
613900,Q7412342,Samuel Pailthorpe King,American judge,Male,United States of America,Judge,1916,2010.0,accident,94.0
159740,Q1387568,Jackson Gillis,American screenwriter,Male,United States of America,Artist,1916,2010.0,natural causes,94.0
592382,Q7159951,Pedro Septién,Mexican sportscaster,Male,Mexico,Announcer,1916,2013.0,natural causes,97.0
40906,Q234335,Jane Jacobs,"American–Canadian journalist, author on urbanism and activist (1916-2006)",Female,Canada; United States of America,Artist,1916,2006.0,natural causes,90.0
41726,Q242097,Olga Lepeshinskaya,Soviet ballet dancer,Female,Russia; Soviet Union,Ballet dancer; pedagogue; choreographer; ballerina; dancer,1916,2008.0,natural causes,92.0
632907,Q7926307,"Victor S. Johnson, Jr.",American businessman,Male,United States of America,Businessperson,1916,2008.0,natural causes,92.0
51450,Q325398,Phil Brown,American actor,Male,United States of America,Artist,1916,2006.0,natural causes,90.0
38193,Q209911,Harry Hill,English racing cyclist,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Athlete,1916,2009.0,natural causes,93.0
38338,Q212286,P. W. Botha,South African prime minister (1916-2006),Male,South Africa,Politician,1916,2006.0,natural causes,90.0
605067,Q7343768,Robert E. Gilka,American photojournalist,Male,United States of America,Artist,1916,2013.0,natural causes,97.0
44565,Q271822,Pierre Messmer,83rd Prime Minister of France (1916-2007),Male,France,Politician,1916,2007.0,natural causes,91.0
38317,Q212048,Glenn Ford,Canadian-American actor,Male,Canada; United States of America,Artist,1916,2006.0,natural causes,90.0
442264,Q5216683,Daniel Bukantz,American fencer,Male,United States of America,Dentist; fencer,1917,2008.0,natural causes,91.0
34365,Q165205,Harry Coover,Inventor of Super Glue,Male,United States of America,Researcher,1917,2011.0,natural causes,94.0
23996,Q105118,Sidney Sheldon,American writer (1917-2007),Male,United States of America,Artist,1917,2007.0,natural causes,90.0
459367,Q5367734,Elspeth Rostow,American academic,Female,United States of America,Academic,1917,2007.0,natural causes,90.0
44372,Q270426,Dorian Leigh,American model (1917-2008),Female,United States of America,Artist,1917,2008.0,natural causes,91.0
587953,Q7087466,Oliver Crawford,"Screenwriter, author (1917-2008)",Male,United States of America,Artist,1917,2008.0,natural causes,91.0
38403,Q212957,Celeste Holm,American actress,Female,United States of America,Artist,1917,2012.0,natural causes,95.0
44319,Q269926,Brenda Joyce,American film actress (1917-2009),Female,United States of America,Artist,1917,2009.0,natural causes,92.0
107209,Q822284,Bernard Barker,Undercover operative (1917-2009),Male,United States of America; Cuba,Politician,1917,2009.0,natural causes,92.0
122218,Q983626,Manuel Alexandre,Spanish actor,Male,Spain,Artist,1917,2010.0,natural causes,93.0
89080,Q640001,Dabbs Greer,American actor,Male,United States of America,Artist,1917,2007.0,natural causes,90.0
452471,Q5336137,Eddie Hubbard,American radio personality,Male,United States of America,Radio personality,1917,2007.0,accident,90.0
266326,Q2640582,Audrey Totter,American actor (1917-2013),Female,United States of America,Artist,1917,2013.0,natural causes,96.0
22868,Q102551,Ernest Borgnine,American actor,Male,United States of America,Artist,1917,2012.0,natural causes,95.0
2194,Q34933,Eric Hobsbawm,British academic historian and Marxist historiographer,Male,United Kingdom,Researcher,1917,2012.0,natural causes,95.0
44374,Q270441,Wenche Foss,"Norwegian diva, actress, singer, recording artist",Female,Norway,Artist,1917,2011.0,natural causes,94.0
839624,Q16856016,Charles M. Williams,"American academic, author, and military officer",Male,United States of America,Military personnel,1917,2011.0,natural causes,94.0
410516,Q4786697,Archie Green,folklorist,Male,United States of America,Folklorist; musicologist,1917,2009.0,natural causes,92.0
78517,Q537722,Jerry Wexler,American music journalist and producer,Male,United States of America,Artist,1917,2008.0,natural causes,91.0
45124,Q274662,Élie de Rothschild,French banker,Male,France,Businessperson,1917,2007.0,natural causes,90.0
28633,Q117479,Melville Shavelson,"American film director, producer, screenwriter, and author",Male,United States of America,Artist,1917,2007.0,natural causes,90.0
403889,Q4722582,Alfred E. Kahn,American economist,Male,United States of America,Businessperson,1917,2010.0,natural causes,93.0
30563,Q123158,Gus Arriola,cartoonist,Male,United States of America,Artist,1917,2008.0,natural causes,91.0
112549,Q888461,Bobby Bragan,"American baseball player, coach, manager",Male,United States of America,Athlete,1917,2010.0,natural causes,93.0
40629,Q231704,Ann Rutherford,actress,Female,Canada; United States of America,Artist,1917,2012.0,natural causes,95.0
419333,Q4908206,Bill Boss,Canadian war correspondent and reporter,Male,Canada,Journalist,1917,2007.0,natural causes,90.0
109829,Q862093,Bill Finegan,"American bandleader, pianist, arranger, and composer",Male,United States of America,Artist,1917,2008.0,natural causes,91.0
73241,Q499583,Joan Roberts,"American actress, singer",Female,United States of America,Artist,1917,2012.0,natural causes,95.0
429460,Q5040417,Carl Karcher,American businessman,Male,United States of America,Entrepreneur,1917,2008.0,natural causes,91.0
220076,Q1871658,"Louis Fabian Bachrach, Jr.",American photographer,Male,United States of America,Artist,1917,2010.0,natural causes,93.0
27163,Q112307,Lena Horne,"American singer, actress, civil rights activist and dancer (1917-2010)",Female,United States of America,Artist,1917,2010.0,natural causes,93.0
27109,Q112176,Ernst von Glasersfeld,German philosopher,Male,United States of America; Austria,Artist,1917,2010.0,natural causes,93.0
899451,Q18925196,John Leggett,American writer,Male,United States of America,Publisher,1917,2015.0,natural causes,98.0
271634,Q2749630,Alí Chumacero,Mexican poet,Male,Mexico,Artist,1917,2010.0,natural causes,93.0
604194,Q7341809,Robert Baker Aitken,"Zen teacher, political activist",Male,United States of America,Peace activist,1917,2010.0,natural causes,93.0
33512,Q154717,Robert Anderson,"American playwright, screenwriter, and theater producer",Male,United States of America,Artist,1917,2009.0,natural causes,92.0
440092,Q5160583,Amram Taub,rabín húngaru (1917–2007),Male,Hungary; United States of America,Rabbi,1917,2007.0,accident,90.0
703843,Q11762840,Louis Zamperini,Italian-American middle distance runner and World War II veteran,Male,United States of America,Athlete,1917,2014.0,natural causes,97.0
460846,Q5387123,Eric Monti,professional golfer,Male,United States of America,Athlete,1917,2009.0,natural causes,92.0
35299,Q172492,John Fitch,racecar driver,Male,United States of America,Engineer,1917,2012.0,natural causes,95.0
205586,Q1699138,John Alvin,"American film, stage, and television actor (1917-2009)",Male,United States of America,Artist,1917,2009.0,accident,92.0
349104,Q3713541,Don Herbert,American television host,Male,United States of America,Journalist,1917,2007.0,natural causes,90.0
320119,Q3289451,Marcel Trudel,Canadian historian,Male,Canada,Researcher,1917,2011.0,natural causes,94.0
283885,Q2941917,Jane Aiken Hodge,British writer,Female,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1917,2009.0,suicide,92.0
801757,Q16018435,John Fuller,Australian politician,Male,Australia,Politician,1917,2009.0,natural causes,92.0
320855,Q3293007,Mariemma,Spanish dancer,Female,Spain,Choreographer; dancer,1917,2008.0,natural causes,91.0
186786,Q1584391,Sid Melton,American actor (1917-2011),Male,United States of America,Artist,1917,2011.0,natural causes,94.0
812564,Q16081965,George Bookasta,American film actor (1917-2014),Male,United States of America,Artist,1917,2014.0,natural causes,97.0
193502,Q1621598,Louis Auchincloss,"American lawyer, novelist, historian, essayist",Male,United States of America,Researcher,1917,2010.0,natural causes,93.0
500798,Q5734161,Herbert Gallagher,British doctor,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Physician,1917,2007.0,natural causes,90.0
242311,Q2209669,Joseph Bloch,American musician,Male,United States of America,Pianist; music pedagogue,1917,2009.0,natural causes,92.0
96092,Q710334,Arthur Laurents,"American playwright, theatre director, screenwriter",Male,United States of America,Artist,1917,2011.0,natural causes,94.0
36215,Q181028,Peter Steiner,"music-making advertising character, e.g. “milka” chocolates",Male,Switzerland,Artist,1917,2007.0,accident,90.0
539124,Q6195738,Jim Horne,American actor (1917-2008),Male,United States of America,Artist,1917,2008.0,natural causes,91.0
802633,Q16019628,Johnny Allen,"American pianist, music arranger",Male,United States of America,Artist,1917,2014.0,natural causes,97.0
42720,Q254748,Jo Stafford,American singer (1917-2008),Female,United States of America,Artist,1917,2008.0,natural causes,91.0
239775,Q2158660,Robert Rosenthal,Recipient of the Purple Heart medal,Male,United States of America,Lawyer,1917,2007.0,natural causes,90.0
535880,Q6166945,Jay Morago,Recipient of the Purple Heart medal,Male,United States of America,Politician,1917,2008.0,natural causes,91.0
58361,Q363763,Paul Tanner,American trombonist,Male,United States of America,Artist,1917,2013.0,natural causes,96.0
524926,Q6087042,Israel Kugler,American historian,Male,United States of America,Researcher,1917,2007.0,natural causes,90.0
37273,Q196090,Marvin Miller,American baseball union executive,Male,United States of America,Trade unionist,1917,2012.0,natural causes,95.0
482628,Q5553604,John Edward Anderson,American businessperson and philanthropist,Male,United States of America,Businessperson,1917,2011.0,natural causes,94.0
408300,Q4767197,Anna Langford,American politician and lawyer,Female,United States of America,Politician,1917,2008.0,natural causes,91.0
315288,Q3229253,Marty Lederhandler,American photojournalist,Male,United States of America,Artist,1917,2010.0,natural causes,93.0
951758,Q21151347,Adolphus Busch Orthwein,polista estauxunidense (1917–2013),Male,United States of America,Athlete,1917,2013.0,natural causes,96.0
35617,Q174808,Edward Norton Lorenz,American mathematician and meteorologist,Male,United States of America,Researcher,1917,2008.0,natural causes,91.0
463949,Q5416360,Evelyn Knight,American recording artist; singer,Female,United States of America,Artist,1917,2007.0,natural causes,90.0
150349,Q1332443,Ellis Clarke,last Governor-General and first President of Trinidad and Tobago (1917-2010),Male,Trinidad and Tobago,Politician,1917,2010.0,natural causes,93.0
38054,Q207405,Zsa Zsa Gabor,Hungarian-American socialite and actress (1916-2016),Female,United States of America; Kingdom of Hungary,Artist,1917,2016.0,natural causes,99.0
64255,Q435195,Arthur M. Schlesinger,"American historian, social critic, and public intellectual",Male,United States of America,Researcher,1917,2007.0,natural causes,90.0
151432,Q1337082,Freddie Francis,"Cinematographer, film director",Male,United Kingdom,Artist,1917,2007.0,natural causes,90.0
18797,Q95055,Jane Wyman,"American actress, singer, dancer, and philanthropist (1917-2007)",Female,United States of America,Artist,1917,2007.0,natural causes,90.0
470541,Q5494483,Fred Ascani,United States general,Male,United States of America,Military personnel,1917,2010.0,natural causes,93.0
464769,Q5442253,Felix L. Sparks,United States Army officer(1917-2007),Male,United States of America,Judge,1917,2007.0,natural causes,90.0
